Razão.Social,Resultado.Bruto.1,Resultado.Bruto.2
LONGDIS S.A.,0,0
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,231.875,255.037
LUPATECH S.A.,581.725,498.233
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,1.737.680,1.522.229
MAESTRO LOCADORA DE VEICULOS S.A.,16.482,19.602
MAGAZINE LUIZA S.A.,3.241.247,3.728.572
MAHLE-METAL LEVE S.A.,2.316.131,2.401.065
MANGELS INDUSTRIAL S.A.,348.704,378.201
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,47.461,50.094
MARCOPOLO S.A.,464.669,459.429
MARFRIG GLOBAL FOODS S.A.,26.504.272,31.414.110
MARISA LOJAS S.A.,3.162.102,3.489.169
MENDES JUNIOR ENGENHARIA S.A.,2.408,1.019
MERCANTIL BRASIL FINANC S.A. C.F.I.,88.351,62.931
METALFRIO SOLUTIONS S.A.,1.388.819,1.534.704
METALGRAFICA IGUACU S.A.,26.947.873,17.292.337
METALURGICA GERDAU S.A.,51.344.416,53.091.558
METALURGICA RIOSULENSE S.A.,37.641,42.16
METISA METALURGICA TIMBOENSE S.A.,56.199.386,50.808.583
MGI - MINAS GERAIS PARTICIPAÇÕES S.A.,4.777,-20.452
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,13.779,97.759
MINASMAQUINAS S.A.,19.013,28.474
MINERVA S.A.,12.824.421,12.022.863
MINUPAR PARTICIPACOES S.A.,33.866,49.983
MMX MINERACAO E METALICOS S.A.,122.689,132.462
MONTEIRO ARANHA S.A.,2.031,860
MOVIDA PARTICIPACOES SA,587.17,656.841
MRS LOGISTICA S.A.,905.172,718.889
MRV ENGENHARIA E PARTICIPACOES S.A.,1.299.516,1.422.372
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,8.875.258,9.454.659
MUNDIAL S.A. - PRODUTOS DE CONSUMO,118.185,116.557
NADIR FIGUEIREDO IND E COM S.A.,241.802,215.706
NATURA &CO HOLDING S.A.,NA,0
NATURA COSMETICOS S.A.,15.379.549,17.625.734
NEOENERGIA S.A.,3.699.953,4.623.801
NORDON INDUSTRIAS METALURGICAS S.A.,584,875
NORTEC QUÍMICA S.A.,50.42,32.652
NOTRE DAME INTERMEDICA PARTICIPACOES SA,1.181.179,1.649.099
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,71.388,75.75
OCTANTE SECURITIZADORA S.A.,1.025,1.021
ODONTOPREV S.A.,640.171,748.186
OI S.A.,4.583.793,3.660.110
OMEGA GERAÇÃO S.A.,194.039,238.794
OPPORTUNITY ENERGIA E PARTICIPACOES S.A.,0,0
OSX BRASIL S.A.,1.740.647,3.162.804
OURINVEST SECURITIZADORA SA,4.248,6.697
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,846.007,875.942
OURO VERDE LOCACAO E SERVICO S.A.,170.266,107.518
PANATLANTICA S.A.,103.94,96.329
PARANA BCO S.A.,5.591.362,5.725.820
PARANAPANEMA S.A.,4.623.494,4.604.868
PATRIA CIA SECURITIZADORA DE CRED IMOB,34,0
PBG S/A,1.622.155,1.822.286
PDG COMPANHIA SECURITIZADORA,0,136
PDG REALTY S.A. EMPREEND E PARTICIPACOES,2.475.628,2.135.211
PETRO RIO S.A.,1.537.063,4.528.408
PETROBRAS DISTRIBUIDORA S/A,4.352.000,4.273.000
PETROLEO BRASILEIRO S.A. PETROBRAS,88.688.000,85.049.000
PETTENATI S.A. INDUSTRIA TEXTIL,25.441.720,23.585.992
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,1.937,11.469
POLO CAPITAL SECURITIZADORA S.A,633,378
POLPAR S.A.,0,0
POMIFRUTAS S/A,36.137,34.307
